Resource,Relative Path,Sample,Name,Grouping Var,Experiment,CONTROL,Subject
2052617,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_019_S326891_1st_14_DEPs-_Treated.raw,326891,1st_14_DEPs-,Treated,DEP,C,14
2052616,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_008_S326889_1st_11_DEPs-_Treated.raw,326889,1st_11_DEPs-,Treated,DEP,C,11
2052619,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_013_S326893_1st_11_TiO2-_Treated.raw,326893,1st_11_TiO2-,Treated,TiO2,T,11
2052618,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_003_S326899_1st_14_SiO2-_Treated.raw,326899,1st_14_SiO2-,Treated,SiO2,T,14
2052624,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_021_S326892_1st_15_DEPs-_Treated.raw,326892,1st_15_DEPs-,Treated,DEP,C,15
2052613,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_004_S326879_1st_11_notreat-_Untreated.raw,326879,1st_11_notreat-,Untreated,notreat,T,11
2052623,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_007_S326900_1st_15_SiO2-_Treated.raw,326900,1st_15_SiO2-,Treated,SiO2,T,15
2052612,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_016_S326895_1st_14_TiO2-_Treated.raw,326895,1st_14_TiO2-,Treated,TiO2,T,14
2052615,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_005_S326886_1st_12_notreat-_Untreated.raw,326886,1st_12_notreat-,Untreated,notreat,T,12
2052625,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_002_S326888_1st_15_notreat-_Untreated.raw,326888,1st_15_notreat-,Untreated,notreat,T,15
2052614,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_015_S326896_1st_15_TiO2-_Treated.raw,326896,1st_15_TiO2-,Treated,TiO2,T,15
2052620,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_014_S326898_1st_12_SiO2-_Treated.raw,326898,1st_12_SiO2-,Treated,SiO2,T,12
2052622,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_010_S326894_1st_12_TiO2-_Treated.raw,326894,1st_12_TiO2-,Treated,TiO2,T,12
2052611,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_018_S326887_1st_14_notreat-_Untreated.raw,326887,1st_14_notreat-,Untreated,notreat,C,14
2052621,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_020_S326897_1st_11_SiO2-_Treated.raw,326897,1st_11_SiO2-,Treated,SiO2,T,11
2052610,p26696/Proteomics/FUSION_2/analytic_20211201/20211201_C26696_009_S326890_1st_12_DEPs-_Treated.raw,326890,1st_12_DEPs-,Treated,DEP,C,12
