Relative Path,Experiment,BioReplicate,DataType
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_002_S428378_o30035_TMT18_pool_f1_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_010_S428386_o30035_TMT18_pool_f9_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_005_S428381_o30035_TMT18_pool_f4_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_003_S428379_o30035_TMT18_pool_f2_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_012_S428388_o30035_TMT18_pool_f11_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_008_S428384_o30035_TMT18_pool_f7_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_007_S428383_o30035_TMT18_pool_f6_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_009_S428385_o30035_TMT18_pool_f8_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_004_S428380_o30035_TMT18_pool_f3_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_013_S428389_o30035_TMT18_pool_f12_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_011_S428387_o30035_TMT18_pool_f10_A.raw,,,DDA
p30035/Proteomics/EXPLORIS_1/analytic_20221121/20221121_006_S428382_o30035_TMT18_pool_f5_A.raw,,,DDA
