Relative Path,Name,Protein Concentration,Grouping Var,CONTROL
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_020_S407431_209393-homozygous-AAV_Treated.raw,209393-homozygous-AAV,9,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_002_S407423_209269-heterozygous-saline_Control.raw,209269-heterozygous-saline,10.1,Control,C
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_013_S407430_209067-homozygous-AAV_Treated.raw,209067-homozygous-AAV,9.6,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_006_S407426_208898-homozygous-saline_Untreated.raw,208898-homozygous-saline,10.5,Untreated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_005_S407433_208435-homozygous-AAV_Treated.raw,208435-homozygous-AAV,9.6,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_010_S407427_208896-homozygous-saline_Untreated.raw,208896-homozygous-saline,9.6,Untreated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_016_S407425_208195-heterozygous-saline_Control.raw,208195-heterozygous-saline,9.9,Control,C
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_017_S407424_208897-heterozygous-saline_Control.raw,208897-heterozygous-saline,10.2,Control,C
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_012_S407429_209068-homozygous-AAV_Treated.raw,209068-homozygous-AAV,10.8,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_019_S407432_208414-homozygous-AAV_Treated.raw,208414-homozygous-AAV,9.7,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_009_S407434_208436-homozygous-AAV_Treated.raw,208436-homozygous-AAV,8.7,Treated,T
p29227/Proteomics/LUMOS_2/analytic_20220902/20220902_C29227_003_S407428_208194-homozygous-saline_Untreated.raw,208194-homozygous-saline,9.3,Untreated,T
