Relative Path,Name,Animal,Group,Time,CONTROL
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_049_S399114_MINOCAZH012_150min_MINOCA_150.raw,MINOCAZH012_150min,MINOCAZH012,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_048_S399108_MINOCAZH009_150min_MINOCA_150.raw,MINOCAZH009_150min,MINOCAZH009,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_047_S399126_CORFLOWMT014_150min_CORFLOW_150.raw,CORFLOWMT014_150min,CORFLOWMT014,CORFLOW,150min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_046_S399125_CORFLOWMT014_0min_CORFLOW_0.raw,CORFLOWMT014_0min,CORFLOWMT014,CORFLOW,0min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_043_S399120_CORFLOWMT012_150min_CORFLOW_150.raw,CORFLOWMT012_150min,CORFLOWMT012,CORFLOW,150min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_042_S399102_MINOCAZH007_150min_MINOCA_150.raw,MINOCAZH007_150min,MINOCAZH007,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_041_S399131_CORFLOWMT020_0min_CORFLOW_0.raw,CORFLOWMT020_0min,CORFLOWMT020,CORFLOW,0min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_040_S399122_CORFLOWMT013_0min_CORFLOW_0.raw,CORFLOWMT013_0min,CORFLOWMT013,CORFLOW,0min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_038_S399128_CORFLOWMT015_0min_CORFLOW_0.raw,CORFLOWMT015_0min,CORFLOWMT015,CORFLOW,0min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_037_S399117_CORFLOWMT009_150min_CORFLOW_150.raw,CORFLOWMT009_150min,CORFLOWMT009,CORFLOW,150min,C
