Relative.Path,Name,Tmp,Group,Control
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_006_S415613_EVP16_Treated.raw,EVP16,M130429,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_003_S415605_EVP8_Treated.raw,EVP8,M130429,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_011_S415612_EVP15_Treated.raw,EVP15,M130429,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_015_S415611_EVP14_Control.raw,EVP14,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_004_S415603_EVP6_Control.raw,EVP6,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_005_S415610_EVP13_Control.raw,EVP13,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_024_S415602_EVP5_Control.raw,EVP5,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_009_S415604_EVP7_Treated.raw,EVP7,M130429,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_023_S415600_EVP2_Control.raw,EVP2,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_021_S415601_EVP4_Treated.raw,EVP4,M130429,MEK162,T
