Relative Path,Name,Animal,Treatment,SubjectID,Group,ContrastName,Contrast
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_047_S399126_CORFLOWMT014_150min_CORFLOW_150.raw,CORFLOWMT014_150min,CORFLOWMT014,CORFLOW,MT014,150min,Time150vs0,Group_150min - Group_0min
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_046_S399125_CORFLOWMT014_0min_CORFLOW_0.raw,CORFLOWMT014_0min,CORFLOWMT014,CORFLOW,MT014,0min,Time300vs150,Group_300min - Group_150min
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_043_S399120_CORFLOWMT012_150min_CORFLOW_150.raw,CORFLOWMT012_150min,CORFLOWMT012,CORFLOW,MT012,150min,Time300vs0,Group_300min - Group_0min
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_041_S399131_CORFLOWMT020_0min_CORFLOW_0.raw,CORFLOWMT020_0min,CORFLOWMT020,CORFLOW,MT020,0min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_040_S399122_CORFLOWMT013_0min_CORFLOW_0.raw,CORFLOWMT013_0min,CORFLOWMT013,CORFLOW,MT013,0min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_038_S399128_CORFLOWMT015_0min_CORFLOW_0.raw,CORFLOWMT015_0min,CORFLOWMT015,CORFLOW,MT015,0min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_037_S399117_CORFLOWMT009_150min_CORFLOW_150.raw,CORFLOWMT009_150min,CORFLOWMT009,CORFLOW,MT009,150min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_032_S399130_CORFLOWMT015_300min_CORFLOW_300.raw,CORFLOWMT015_300min,CORFLOWMT015,CORFLOW,MT015,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_021_S399118_CORFLOWMT009_300min_CORFLOW_300.raw,CORFLOWMT009_300min,CORFLOWMT009,CORFLOW,MT009,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_019_S399119_CORFLOWMT012_0min_CORFLOW_0.raw,CORFLOWMT012_0min,CORFLOWMT012,CORFLOW,MT012,0min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_015_S399127_CORFLOWMT014_300min_CORFLOW_300.raw,CORFLOWMT014_300min,CORFLOWMT014,CORFLOW,MT014,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_014_S399124_CORFLOWMT013_270min_CORFLOW_300.raw,CORFLOWMT013_300min,CORFLOWMT013,CORFLOW,MT013,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_010_S399123_CORFLOWMT013_150min_CORFLOW_150.raw,CORFLOWMT013_150min,CORFLOWMT013,CORFLOW,MT013,150min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_009_S399133_CORFLOWMT020_300min_CORFLOW_300.raw,CORFLOWMT020_300min,CORFLOWMT020,CORFLOW,MT020,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_008_S399129_CORFLOWMT015_150min_CORFLOW_150.raw,CORFLOWMT015_150min,CORFLOWMT015,CORFLOW,MT015,150min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_007_S399121_CORFLOWMT012_300min_CORFLOW_300.raw,CORFLOWMT012_300min,CORFLOWMT012,CORFLOW,MT012,300min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_003_S399132_CORFLOWMT020_150min_CORFLOW_150.raw,CORFLOWMT020_150min,CORFLOWMT020,CORFLOW,MT020,150min,NA,NA
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_002_S399116_CORFLOWMT009_0min_CORFLOW_0_rep_1ul.raw,CORFLOWMT009_0min,CORFLOWMT009,CORFLOW,MT009,0min,NA,NA
