Relative.Path,Name,Group,Tmp,Control
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_025_S415615_EVP18_Control.raw,EVP18,M130219,DMSO,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_022_S415607_EVP10_Control.raw,EVP10,M130219,DMSO,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_008_S415606_EVP9_Control_20221013085725.raw,EVP9,M130219,DMSO,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_018_S415614_EVP17_Control.raw,EVP17,M130219,DMSO,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_015_S415611_EVP14_Control.raw,EVP14,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_016_S415616_EVP19_Control.raw,EVP19,M130219,DMSO,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_004_S415603_EVP6_Control.raw,EVP6,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_005_S415610_EVP13_Control.raw,EVP13,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_024_S415602_EVP5_Control.raw,EVP5,M130429,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_023_S415600_EVP2_Control.raw,EVP2,M130429,DMSO,C
