Relative Path,Name,Grouping Var,CONTROL
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_051_FT10_MEDIUM_1.d.zip,FT10_MEDIUM_1,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_023_FT17_MEDIUM_3.d.zip,FT17_MEDIUM_3,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_043_FT17_MEDIUM_4.d.zip,FT17_MEDIUM_4,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_020_FT39_MEDIUM_5.d.zip,FT39_MEDIUM_5,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_013_FTN_MEDIUM_2.d.zip,FTN_MEDIUM_2,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_002_FT23_MEDIUM_5.d.zip,FT23_MEDIUM_5,FT23,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_039_FT39_MEDIUM_1.d.zip,FT39_MEDIUM_1,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_014_FTN_MEDIUM_1.d.zip,FTN_MEDIUM_1,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_041_FT29_MEDIUM_1.d.zip,FT29_MEDIUM_1,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_045_FT10_MEDIUM_3.d.zip,FT10_MEDIUM_3,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_021_FT38_MEDIUM_4.d.zip,FT38_MEDIUM_4,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_007_FT38_MEDIUM_3.d.zip,FT38_MEDIUM_3,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_016_FT39_MEDIUM_2.d.zip,FT39_MEDIUM_2,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_036_FT29_MEDIUM_4.d.zip,FT29_MEDIUM_4,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_040_FT38_MEDIUM_2.d.zip,FT38_MEDIUM_2,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_032_FT23_MEDIUM_6.d.zip,FT23_MEDIUM_6,FT23,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_003_FT10_MEDIUM_4.d.zip,FT10_MEDIUM_4,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_006_FT17_MEDIUM_5.d.zip,FT17_MEDIUM_5,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_027_FT39_MEDIUM_4.d.zip,FT39_MEDIUM_4,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_047_FT10_MEDIUM_5.d.zip,FT10_MEDIUM_5,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_022_FTN_MEDIUM_6.d.zip,FTN_MEDIUM_6,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_042_FT23_MEDIUM_1.d.zip,FT23_MEDIUM_1,FT23,T
