Relative Path,Name,Grouping Var,CONTROL
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_026_S423443_M0SS_1228_Group_1.raw,M0SS_1228,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_007_S423455_M2SS_1240_Group_3.raw,M2SS_1240,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_018_S423456_M2SS_1241_Group_3.raw,M2SS_1241,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_010_S423447_M0SS_1232_Group_1.raw,M0SS_1232,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_002_S423445_M0SS_1230_Group_1.raw,M0SS_1230,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_025_S423446_M0SS_1231_Group_1.raw,M0SS_1231,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_029_S423437_M0_1222_Control.raw,M0_1222,Control,C
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_008_S423453_M2_1238_Group_2.raw,M2_1238,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_004_S423438_M0_1223_Control.raw,M0_1223,Control,C
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_013_S423451_M2_1236_Group_2.raw,M2_1236,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_032_S423459_M2SS_1244_Group_3.raw,M2SS_1244,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_003_S423449_M2_1234_Group_2.raw,M2_1234,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_021_S423454_M2_1239_Group_2.raw,M2_1239,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_016_S423450_M2_1235_Group_2.raw,M2_1235,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_019_S423444_M0SS_1229_Group_1.raw,M0SS_1229,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_009_S423457_M2SS_1242_Group_3.raw,M2SS_1242,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_027_S423448_M0SS_1233_Group_1.raw,M0SS_1233,Group 1,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_014_S423439_M0_1224_Control.raw,M0_1224,Control,C
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_005_S423458_M2SS_1243_Group_3.raw,M2SS_1243,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_031_S423442_M0_1227_Control.raw,M0_1227,Control,C
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_020_S423460_M2SS_1245_Group_3.raw,M2SS_1245,Group 3,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_015_S423452_M2_1237_Group_2.raw,M2_1237,Group 2,T
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_030_S423441_M0_1226_Control.raw,M0_1226,Control,C
p29966/Proteomics/LUMOS_2/analytic_20221115/20221115_C29966_024_S423440_M0_1225_Control.raw,M0_1225,Control,C
