Relative Path,Name,Grouping Var,Description
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_025_S415615_EVP18_Control.raw,EVP18,Control,M130219 DMSO Biorep 4
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_017_S415617_EVP20_Treated.raw,EVP20,Treated,M130219 MEK162 Biorep 3
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_022_S415607_EVP10_Control.raw,EVP10,Control,M130219 DMSO Biorep 2
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_006_S415613_EVP16_Treated.raw,EVP16,Treated,M130429 MEK162 Biorep 6
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_008_S415606_EVP9_Control_20221013085725.raw,EVP9,Control,M130219 DMSO Biorep 1
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_003_S415605_EVP8_Treated.raw,EVP8,Treated,M130429 MEK162 Biorep 4
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_012_S415608_EVP11_Treated.raw,EVP11,Treated,M130219 MEK162 Biorep 1
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_011_S415612_EVP15_Treated.raw,EVP15,Treated,M130429 MEK162 Biorep 5
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_018_S415614_EVP17_Control.raw,EVP17,Control,M130219 DMSO Biorep 3
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_015_S415611_EVP14_Control.raw,EVP14,Control,M130429 DMSO Biorep 6
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_016_S415616_EVP19_Control.raw,EVP19,Control,M130219 DMSO Biorep 5
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_004_S415603_EVP6_Control.raw,EVP6,Control,M130429 DMSO Biorep 4
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_019_S415618_EVP21_Treated.raw,EVP21,Treated,M130219 MEK162 Biorep 4
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_010_S415609_EVP12_Treated.raw,EVP12,Treated,M130219 MEK162 Biorep 2
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_005_S415610_EVP13_Control.raw,EVP13,Control,M130429 DMSO Biorep 5
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_024_S415602_EVP5_Control.raw,EVP5,Control,M130429 DMSO Biorep 3
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_009_S415604_EVP7_Treated.raw,EVP7,Treated,M130429 MEK162 Biorep 3
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_023_S415600_EVP2_Control.raw,EVP2,Control,M130429 DMSO Biorep 2
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_002_S415619_EVP22_Treated.raw,EVP22,Treated,M130219 MEK162 Biorep 5
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_021_S415601_EVP4_Treated.raw,EVP4,Treated,M130429 MEK162 Biorep 2
