Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Unique Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Unique Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Unique Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Unique Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Unique Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Unique Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Total Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Total Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Total Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Total Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Total Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Total Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Unique Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Unique Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Unique Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Unique Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Unique Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Unique Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Total Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Total Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Total Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Total Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Total Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Total Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Unique Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Unique Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Unique Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Unique Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Unique Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Unique Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Total Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Total Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Total Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Total Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Total Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	27.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	1.0000	0.9990	2	7	7	7	0	0	6	0	0	1	0	0	6	0	0	1	0	0	6	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	20.50	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61	1.0000	0.9990	3	13	13	13	0	0	4	0	0	9	0	0	4	0	0	9	0	0	4	0	0	9	0.0	0.0	139752.61	0.0	0.0	1589996.6	0.0	0.0	139752.61	0.0	0.0	1589996.6	0.0	0.0	139752.61	0.0	0.0	1589996.6	0.0	0.0	82157.016	0.0	0.0	927334.75	0.0	0.0	82157.016	0.0	0.0	927334.75	0.0	0.0	82157.016	0.0	0.0	927334.75	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	29.40	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-15	1.0000	0.9990	5	13	13	33	0	0	4	0	0	9	0	0	4	0	0	9	0	1	12	2	1	17	0.0	0.0	71329.57	0.0	0.0	480612.84	0.0	0.0	71329.57	0.0	0.0	480612.84	0.0	0.0	475574.3	261390.22	758489.56	1715050.8	0.0	0.0	71329.57	0.0	0.0	480612.84	0.0	0.0	71329.57	0.0	0.0	480612.84	0.0	0.0	319890.8	0.0	0.0	1349652.6	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	17.60	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 2-26	1.0000	0.9990	3	6	6	6	0	0	6	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1V6|HV373_HUMAN	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	119	35.30	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-73	1.0000	0.9990	5	9	5	29	0	0	2	0	0	7	0	0	0	0	0	5	0	1	10	2	1	15	0.0	0.0	119354.46	0.0	0.0	80167.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523599.22	261390.22	758489.56	1314605.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	569286.1	0.0	0.0	758391.06	
sp|A0A0B4J1Y8|LV949_HUMAN	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	123	16.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 9-49	1.0000	0.9990	2	10	10	10	0	0	4	0	0	6	0	0	4	0	0	6	0	0	4	0	0	6	0.0	0.0	219334.75	0.0	0.0	315603.62	0.0	0.0	219334.75	0.0	0.0	315603.62	0.0	0.0	219334.75	0.0	0.0	315603.62	0.0	0.0	177884.08	0.0	0.0	267586.34	0.0	0.0	177884.08	0.0	0.0	267586.34	0.0	0.0	177884.08	0.0	0.0	267586.34	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	35.30	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-72	1.0000	0.9990	6	36	21	41	0	0	16	1	0	19	0	0	8	0	0	13	0	1	16	2	1	21	0.0	0.0	714300.8	0.0	0.0	1429937.0	0.0	0.0	310056.03	0.0	0.0	361916.97	0.0	0.0	688873.8	261390.22	758489.56	1333562.2	0.0	0.0	404244.75	0.0	0.0	1068020.0	0.0	0.0	198563.31	0.0	0.0	376697.94	0.0	0.0	404244.75	0.0	0.0	1068020.0	
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	29.10	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	1.0000	0.9990	3	21	0	21	0	1	18	0	0	2	0	0	0	0	0	0	0	1	18	0	0	2	0.0	120110.99	2149426.8	0.0	0.0	388622.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120110.99	2149426.8	0.0	0.0	388622.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DP09|KV113_HUMAN
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	36.80	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 1-18	1.0000	0.9990	3	37	26	37	0	0	25	0	0	12	0	0	17	0	0	9	0	0	25	0	0	12	0.0	0.0	680807.4	0.0	0.0	740428.1	0.0	0.0	86884.95	0.0	0.0	278964.12	0.0	0.0	680807.4	0.0	0.0	740428.1	0.0	0.0	416570.5	0.0	0.0	657929.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416570.5	0.0	0.0	657929.06	
sp|A0A0C4DH33|HV124_HUMAN	A0A0C4DH33	HV124_HUMAN	IGHV1-24	117	29.90	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 1-24	1.0000	0.9990	2	6	6	6	0	0	6	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
