Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Spectral Count	20220119_C27283_008_S353679_M_1 Spectral Count	20220119_C27283_010_S353680_M_2 Spectral Count	20220119_C27283_012_S353681_M_3 Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Unique Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Unique Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Unique Spectral Count	20220119_C27283_008_S353679_M_1 Unique Spectral Count	20220119_C27283_010_S353680_M_2 Unique Spectral Count	20220119_C27283_012_S353681_M_3 Unique Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Total Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Total Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Total Spectral Count	20220119_C27283_008_S353679_M_1 Total Spectral Count	20220119_C27283_010_S353680_M_2 Total Spectral Count	20220119_C27283_012_S353681_M_3 Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Intensity	20220119_C27283_004_S353677_B-GFP_02 Intensity	20220119_C27283_006_S353678_B-GFP_03 Intensity	20220119_C27283_008_S353679_M_1 Intensity	20220119_C27283_010_S353680_M_2 Intensity	20220119_C27283_012_S353681_M_3 Intensity	20220119_C27283_002_S353676_B-GFP_01 Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 Unique Intensity	20220119_C27283_008_S353679_M_1 Unique Intensity	20220119_C27283_010_S353680_M_2 Unique Intensity	20220119_C27283_012_S353681_M_3 Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 Total Intensity	20220119_C27283_004_S353677_B-GFP_02 Total Intensity	20220119_C27283_006_S353678_B-GFP_03 Total Intensity	20220119_C27283_008_S353679_M_1 Total Intensity	20220119_C27283_010_S353680_M_2 Total Intensity	20220119_C27283_012_S353681_M_3 Total Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Unique Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Unique Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Unique Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Total Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Total Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Total Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Total Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Total Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|F4I893|ILA_ARATH	F4I893	ILA_ARATH	ILA	2696	13.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Protein ILITYHIA	1.0000	0.9990	22	55	0	55	11	16	14	10	3	1	0	0	0	0	0	0	11	16	14	10	3	1	2.1514174E7	5.653108E7	2.262098E7	1.9896504E7	2940420.5	2141324.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1514174E7	5.653108E7	2.262098E7	1.9896504E7	2940420.5	2141324.0	8098245.0	2.3019242E7	9722984.0	1.2220508E7	2292887.0	1826570.2	0.0	0.0	0.0	0.0	0.0	0.0	8098245.0	2.3019242E7	9722984.0	1.2220508E7	2292887.0	1826570.2	tr|A0A1P8AT97|A0A1P8AT97_ARATH
sp|F4IZR5|XPO1B_ARATH	F4IZR5	XPO1B_ARATH	XPO1B	1076	5.80	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Protein EXPORTIN 1B	1.0000	0.9990	2	2	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F4JC97|PSME4_ARATH	F4JC97	PSME4_ARATH	PA200	1811	1.40	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Proteasome activator subunit 4	1.0000	0.9990	2	3	3	3	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	342334.16	833863.44	0.0	0.0	0.0	0.0	342334.16	833863.44	0.0	0.0	0.0	0.0	342334.16	833863.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F4JVN6|TPPII_ARATH	F4JVN6	TPPII_ARATH	TPP2	1380	33.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Tripeptidyl-peptidase 2	1.0000	0.9990	35	42	42	42	3	3	0	0	0	36	3	3	0	0	0	36	3	3	0	0	0	36	1.5324294E7	3.0646734E7	0.0	0.0	0.0	8.2670816E7	1.5324294E7	3.0646734E7	0.0	0.0	0.0	8.2670816E7	1.5324294E7	3.0646734E7	0.0	0.0	0.0	8.2670816E7	6353925.0	1.4091998E7	0.0	0.0	0.0	3.46402E7	6353925.0	1.4091998E7	0.0	0.0	0.0	3.46402E7	6353925.0	1.4091998E7	0.0	0.0	0.0	3.46402E7	
sp|F4K410|SVR3_ARATH	F4K410	SVR3_ARATH	SVR3	675	7.30	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Putative elongation factor TypA-like SVR3, chloroplastic	1.0000	0.9990	3	4	0	4	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|F4K409|F4K409_ARATH
sp|F4KBW6|NU205_ARATH	F4KBW6	NU205_ARATH	NUP205	1838	1.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Nuclear pore complex protein NUP205	1.0000	0.9990	1	5	0	5	1	2	1	1	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1059419.9	6227457.5	1941915.5	4000043.2	221627.17	126936.03	0.0	0.0	0.0	0.0	0.0	0.0	1059419.9	6227457.5	1941915.5	4000043.2	221627.17	126936.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1P8BGY9|A0A1P8BGY9_ARATH, tr|A0A1P8BGZ1|A0A1P8BGZ1_ARATH, tr|A0A2H1ZE90|A0A2H1ZE90_ARATH
sp|O22229|TRXB3_ARATH	O22229	TRXB3_ARATH	NTRC	529	23.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	NADPH-dependent thioredoxin reductase 3	1.0000	0.9990	9	30	30	30	7	9	3	0	0	11	7	9	3	0	0	11	7	9	3	0	0	11	4.6025556E7	9.3348928E7	7232728.0	0.0	467577.6	7.1635088E7	4.6025556E7	9.3348928E7	7232728.0	0.0	467577.6	7.1635088E7	4.6025556E7	9.3348928E7	7232728.0	0.0	467577.6	7.1635088E7	1.7938032E7	3.7486668E7	8328602.0	0.0	870180.6	2.4162978E7	1.7938032E7	3.7486668E7	8328602.0	0.0	870180.6	2.4162978E7	1.7938032E7	3.7486668E7	8328602.0	0.0	870180.6	2.4162978E7	
sp|O23049|RK6_ARATH	O23049	RK6_ARATH	RPL6	223	12.60	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	50S ribosomal protein L6, chloroplastic	1.0000	0.9990	2	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O49347|PSBY_ARATH	O49347	PSBY_ARATH	PSBY	189	30.70	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Photosystem II core complex proteins psbY, chloroplastic	1.0000	0.9990	2	11	11	11	3	3	2	1	0	2	3	3	2	1	0	2	3	3	2	1	0	2	7914156.0	0.0	7851494.5	1.4232504E7	655237.25	7905736.0	7914156.0	0.0	7851494.5	1.4232504E7	655237.25	7905736.0	7914156.0	0.0	7851494.5	1.4232504E7	655237.25	7905736.0	8728130.0	0.0	7119274.5	0.0	0.0	7905736.0	8728130.0	0.0	7119274.5	0.0	0.0	7905736.0	8728130.0	0.0	7119274.5	0.0	0.0	7905736.0	
sp|O49607|SBT16_ARATH	O49607	SBT16_ARATH	SBT1.6	764	38.70	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Subtilisin-like protease SBT1.6	1.0000	0.9990	23	49	49	49	8	6	4	2	0	29	8	6	4	2	0	29	8	6	4	2	0	29	3.3098708E7	5.3920608E7	1.7487998E7	3059665.5	953946.6	2.14983024E8	3.3098708E7	5.3920608E7	1.7487998E7	3059665.5	953946.6	2.14983024E8	3.3098708E7	5.3920608E7	1.7487998E7	3059665.5	953946.6	2.14983024E8	1.3443276E7	2.2181006E7	7082813.5	1597821.1	1030902.06	8.1926824E7	1.3443276E7	2.2181006E7	7082813.5	1597821.1	1030902.06	8.1926824E7	1.3443276E7	2.2181006E7	7082813.5	1597821.1	1030902.06	8.1926824E7	
