Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Intensity	Indistinguishable Proteins
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	2.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0000	0.9990	2	9	9	9	0	0	0	2	1	0	2	4	0	0	0	0	2	1	0	2	4	0	0	0	0	2	1	0	2	4	0	0.0	0.0	1190806.9	5.923706E7	4.9228632E7	4.2653048E7	8.6174456E7	7.0073024E7	2.426194E7	0.0	0.0	1190806.9	5.923706E7	4.9228632E7	4.2653048E7	8.6174456E7	7.0073024E7	2.426194E7	0.0	0.0	1190806.9	5.923706E7	4.9228632E7	4.2653048E7	8.6174456E7	7.0073024E7	2.426194E7	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	1.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0000	0.9990	3	3	3	3	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0.0	0.0	0.0	4.19097E7	1.96819E7	1.4352491E7	2.3509526E7	4.3767832E7	2.9143918E7	0.0	0.0	0.0	4.19097E7	1.96819E7	1.4352491E7	2.3509526E7	4.3767832E7	2.9143918E7	0.0	0.0	0.0	4.19097E7	1.96819E7	1.4352491E7	2.3509526E7	4.3767832E7	2.9143918E7	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	6.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9990	11	34	34	34	0	1	1	7	1	2	7	9	6	0	1	1	7	1	2	7	9	6	0	1	1	7	1	2	7	9	6	2796589.0	1.81655E7	2.8680966E7	1.8514944E8	1.23899208E8	9.6600224E7	1.74365376E8	2.07237824E8	1.63569392E8	2796589.0	1.81655E7	2.8680966E7	1.8514944E8	1.23899208E8	9.6600224E7	1.74365376E8	2.07237824E8	1.63569392E8	2796589.0	1.81655E7	2.8680966E7	1.8514944E8	1.23899208E8	9.6600224E7	1.74365376E8	2.07237824E8	1.63569392E8	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	7.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0000	0.9990	4	23	0	23	0	0	0	5	2	3	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3	5	3	5	2.7800676E7	9462819.0	1.7023284E7	1.67555264E8	1.12978472E8	1.3119836E8	1.66571904E8	1.06257088E8	1.5753872E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7800676E7	9462819.0	1.7023284E7	1.67555264E8	1.12978472E8	1.3119836E8	1.66571904E8	1.06257088E8	1.5753872E8	sp|Q13838|DX39B_HUMAN
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	19.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0000	0.9990	4	18	18	18	0	0	0	3	3	6	1	1	4	0	0	0	3	3	6	1	1	4	0	0	0	3	3	6	1	1	4	3.72288E7	2.5539664E7	2.7770622E7	1.3450944E8	1.23452904E8	1.82013648E8	1.15887704E8	1.01101176E8	1.47174784E8	3.72288E7	2.5539664E7	2.7770622E7	1.3450944E8	1.23452904E8	1.82013648E8	1.15887704E8	1.01101176E8	1.47174784E8	3.72288E7	2.5539664E7	2.7770622E7	1.3450944E8	1.23452904E8	1.82013648E8	1.15887704E8	1.01101176E8	1.47174784E8	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0000	0.9990	2	10	10	10	0	0	0	2	0	3	2	1	2	0	0	0	2	0	3	2	1	2	0	0	0	2	0	3	2	1	2	2585804.5	0.0	0.0	3.7662044E7	0.0	2.8569566E7	5.4183376E7	2.9826634E7	4.0968484E7	2585804.5	0.0	0.0	3.7662044E7	0.0	2.8569566E7	5.4183376E7	2.9826634E7	4.0968484E7	2585804.5	0.0	0.0	3.7662044E7	0.0	2.8569566E7	5.4183376E7	2.9826634E7	4.0968484E7	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	32.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 56	1.0000	0.9990	16	64	64	64	1	0	0	8	9	5	12	14	15	1	0	0	8	9	5	12	14	15	1	0	0	8	9	5	12	14	15	3.3726516E7	4.4306988E7	3.4282768E7	3.53819104E8	2.7429616E8	2.55539024E8	4.0273664E8	3.60780992E8	3.32288096E8	3.3726516E7	4.4306988E7	3.4282768E7	3.53819104E8	2.7429616E8	2.55539024E8	4.0273664E8	3.60780992E8	3.32288096E8	3.3726516E7	4.4306988E7	3.4282768E7	3.53819104E8	2.7429616E8	2.55539024E8	4.0273664E8	3.60780992E8	3.32288096E8	
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	1.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	AT-rich interactive domain-containing protein 1A	1.0000	0.9990	2	4	4	4	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	1	2	0	1.0585193E7	5433409.5	8228878.5	1.7611494E7	1.6090947E7	1.6133476E7	2.1251456E7	2.0849974E7	1.4394395E7	1.0585193E7	5433409.5	8228878.5	1.7611494E7	1.6090947E7	1.6133476E7	2.1251456E7	2.0849974E7	1.4394395E7	1.0585193E7	5433409.5	8228878.5	1.7611494E7	1.6090947E7	1.6133476E7	2.1251456E7	2.0849974E7	1.4394395E7	
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	2.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1 regulatory subunit 12A	1.0000	0.9990	4	9	9	12	0	0	0	3	0	1	2	3	0	0	0	0	3	0	1	2	3	0	0	0	0	3	0	1	3	5	0	6330856.0	0.0	0.0	8.2076528E7	5.310432E7	3.2230584E7	8.7282896E7	7.983144E7	5.0012944E7	6330856.0	0.0	0.0	8.2076528E7	5.310432E7	3.2230584E7	8.7282896E7	7.983144E7	5.0012944E7	1.294391E7	6692564.0	5957677.0	1.25851032E8	7.86604E7	5.0084E7	1.27958088E8	1.26003808E8	7.1487376E7	
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like	1.0000	0.9990	11	54	54	99	0	0	0	13	6	5	12	9	9	0	0	0	13	6	5	12	9	9	0	1	0	19	14	12	20	17	16	7460728.5	6915966.5	8148085.0	3.26581312E8	1.95066992E8	2.04321248E8	4.12783232E8	2.83013312E8	2.19820176E8	7460728.5	6915966.5	8148085.0	3.26581312E8	1.95066992E8	2.04321248E8	4.12783232E8	2.83013312E8	2.19820176E8	4.8625752E7	4.0290504E7	4.576576E7	5.4121005E8	3.70394496E8	3.96480832E8	7.3186688E8	5.4311315E8	4.56233312E8	
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	25.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec16A	1.0000	0.9990	41	296	296	296	4	5	0	38	52	37	59	62	39	4	5	0	38	52	37	59	62	39	4	5	0	38	52	37	59	62	39	6.374854E7	5.8509732E7	6.18258E7	5.6171635E8	5.406121E8	3.62293824E8	5.540649E8	8.6030739E8	4.46224032E8	6.374854E7	5.8509732E7	6.18258E7	5.6171635E8	5.406121E8	3.62293824E8	5.540649E8	8.6030739E8	4.46224032E8	6.374854E7	5.8509732E7	6.18258E7	5.6171635E8	5.406121E8	3.62293824E8	5.540649E8	8.6030739E8	4.46224032E8	
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	22.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein	1.0000	0.9990	19	158	158	158	10	12	12	24	23	8	27	25	17	10	12	12	24	23	8	27	25	17	10	12	12	24	23	8	27	25	17	1.2467712E8	1.304494E8	1.94869408E8	4.30451424E8	4.35946816E8	3.22648832E8	5.6005811E8	4.70913312E8	3.64501728E8	1.2467712E8	1.304494E8	1.94869408E8	4.30451424E8	4.35946816E8	3.22648832E8	5.6005811E8	4.70913312E8	3.64501728E8	1.2467712E8	1.304494E8	1.94869408E8	4.30451424E8	4.35946816E8	3.22648832E8	5.6005811E8	4.70913312E8	3.64501728E8	
sp|O15061|SYNEM_HUMAN	O15061	SYNEM_HUMAN	SYNM	1565	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synemin	1.0000	0.9990	9	10	8	10	0	0	0	1	1	1	2	3	2	0	0	0	1	0	0	2	3	2	0	0	0	1	1	1	2	3	2	5609446.5	3682712.5	0.0	5.0064896E7	6.4612992E7	4.9021204E7	5.7745664E7	5.378526E7	4.9360456E7	0.0	0.0	0.0	3.5173596E7	5.671764E7	2.772022E7	3.8103584E7	4.8940468E7	3.9453804E7	5609446.5	3682712.5	0.0	5.0064896E7	6.4612992E7	4.9021204E7	5.7745664E7	5.378526E7	4.9360456E7	
