Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	40.30	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0000	0.9990	7	88	0	88	15	17	14	10	17	15	0	0	0	0	0	0	15	17	14	10	17	15	707613.75	695203.75	633190.75	591467.5	609306.0	598710.25	0.0	0.0	0.0	0.0	0.0	0.0	707613.75	695203.75	633190.75	591467.5	609306.0	598710.25	274586.12	277986.53	251974.42	232235.14	235198.7	220579.31	0.0	0.0	0.0	0.0	0.0	0.0	274586.12	277986.53	251974.42	232235.14	235198.7	220579.31	sp|P0DPI2|GAL3A_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	53.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0000	0.9990	43	354	354	354	60	65	60	54	59	56	60	65	60	54	59	56	60	65	60	54	59	56	803023.5	849793.75	770624.0	787122.4	794625.6	875897.6	803023.5	849793.75	770624.0	787122.4	794625.6	875897.6	803023.5	849793.75	770624.0	787122.4	794625.6	875897.6	331108.34	337579.38	338765.53	329050.75	332606.75	322955.3	331108.34	337579.38	338765.53	329050.75	332606.75	322955.3	331108.34	337579.38	338765.53	329050.75	332606.75	322955.3	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	33.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0000	0.9990	19	117	117	117	20	23	22	18	17	17	20	23	22	18	17	17	20	23	22	18	17	17	310572.03	349509.16	358527.12	273300.03	135713.11	335039.28	310572.03	349509.16	358527.12	273300.03	135713.11	335039.28	310572.03	349509.16	358527.12	273300.03	135713.11	335039.28	127541.49	126721.07	130981.7	131425.38	129657.68	135910.36	127541.49	126721.07	130981.7	131425.38	129657.68	135910.36	127541.49	126721.07	130981.7	131425.38	129657.68	135910.36	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	13.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroblastoma-amplified sequence	1.0000	0.9990	24	89	89	89	15	16	13	15	14	16	15	16	13	15	14	16	15	16	13	15	14	16	100684.08	1105966.8	675051.5	711376.0	690431.94	663076.9	100684.08	1105966.8	675051.5	711376.0	690431.94	663076.9	100684.08	1105966.8	675051.5	711376.0	690431.94	663076.9	421228.34	453291.9	447448.5	460050.1	462652.62	454188.25	421228.34	453291.9	447448.5	460050.1	462652.62	454188.25	421228.34	453291.9	447448.5	460050.1	462652.62	454188.25	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	26.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0000	0.9990	9	43	43	43	8	7	12	5	6	5	8	7	12	5	6	5	8	7	12	5	6	5	128466.55	134780.75	64948.688	117266.07	124236.43	114057.97	128466.55	134780.75	64948.688	117266.07	124236.43	114057.97	128466.55	134780.75	64948.688	117266.07	124236.43	114057.97	52849.58	54379.47	56239.207	53526.637	52984.812	51463.6	52849.58	54379.47	56239.207	53526.637	52984.812	51463.6	52849.58	54379.47	56239.207	53526.637	52984.812	51463.6	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	32.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0000	0.9990	58	398	398	398	72	67	67	64	67	61	72	67	67	64	67	61	72	67	67	64	67	61	589795.4	557204.1	619321.9	602445.4	636873.06	600076.5	589795.4	557204.1	619321.9	602445.4	636873.06	600076.5	589795.4	557204.1	619321.9	602445.4	636873.06	600076.5	342597.03	347492.1	344265.25	353489.34	343334.0	351989.56	342597.03	347492.1	344265.25	353489.34	343334.0	351989.56	342597.03	347492.1	344265.25	353489.34	343334.0	351989.56	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	37.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0000	0.9990	9	74	74	74	13	11	14	12	12	12	13	11	14	12	12	12	13	11	14	12	12	12	479618.2	479871.88	459249.94	454422.88	409323.6	414371.03	479618.2	479871.88	459249.94	454422.88	409323.6	414371.03	479618.2	479871.88	459249.94	454422.88	409323.6	414371.03	184180.77	199779.83	198354.84	211188.55	203737.39	205808.45	184180.77	199779.83	198354.84	211188.55	203737.39	205808.45	184180.77	199779.83	198354.84	211188.55	203737.39	205808.45	
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	40.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0600 protein C5orf51	1.0000	0.9990	7	30	30	30	7	6	7	4	3	3	7	6	7	4	3	3	7	6	7	4	3	3	187970.39	197865.42	171569.64	108781.93	178514.4	161776.62	187970.39	197865.42	171569.64	108781.93	178514.4	161776.62	187970.39	197865.42	171569.64	108781.93	178514.4	161776.62	80097.11	83637.0	80269.76	69447.52	68253.336	65874.164	80097.11	83637.0	80269.76	69447.52	68253.336	65874.164	80097.11	83637.0	80269.76	69447.52	68253.336	65874.164	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	13.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	1.0000	0.9990	3	16	16	16	3	4	3	2	1	3	3	4	3	2	1	3	3	4	3	2	1	3	40913.875	43362.914	46234.92	46969.848	49394.62	47536.266	40913.875	43362.914	46234.92	46969.848	49394.62	47536.266	40913.875	43362.914	46234.92	46969.848	49394.62	47536.266	22687.256	23661.973	25608.07	25913.664	27458.521	26263.984	22687.256	23661.973	25608.07	25913.664	27458.521	26263.984	22687.256	23661.973	25608.07	25913.664	27458.521	26263.984	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	34.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9990	52	355	355	355	60	69	47	58	57	64	60	69	47	58	57	64	60	69	47	58	57	64	480405.4	468137.34	461199.34	440417.56	446131.94	453856.2	480405.4	468137.34	461199.34	440417.56	446131.94	453856.2	480405.4	468137.34	461199.34	440417.56	446131.94	453856.2	175641.36	173417.42	174290.34	178454.2	179280.81	178663.5	175641.36	173417.42	174290.34	178454.2	179280.81	178663.5	175641.36	173417.42	174290.34	178454.2	179280.81	178663.5	
